sentence,word,meaning
 Wszyscy artyści to prostytutki![3],prostytutka," przen. pejor. człowiek sprzedajny, który dla własnych korzyści zdradza innych lub postępuje niegodziwie i oportunistycznie"
 Dysk twardy jest elementem zestawu komputerowego.,element, część składowa
 Tutaj mieszka sam element.,element, pejor. obraź. niepochlebne określenie grupy społecznej lub jej przedstawiciela
 Woda i ogień to wrogie elementy.,element," filoz. w filozofii starożytnej synonim słowa pierwiastek: (ziemia, woda, ogień lub powietrze)"
 Elementami zbioru potęgowego są podzbiory wyjściowego zbioru.,element, mat. obiekt należący do rozważanego zbioru lub klasy
" A ty pierduśnico nie blubraj mi tu, ino fyraj do składu po pyry na ajntopf! → A ty, plotkaro, nie gadaj tu o głupotach, ale biegnij szybko do sklepu po ziemniaki na danie jednogarnkowe.",pyra, gw. (Poznań)[1] reg. łódz.[2] ziemniak
" Pan młody z Poznania, to się na wesele tych pyrów najechało.",pyra, lekcew. mieszkaniec Poznania
" Z mojego teścia to straszna pyra jest. Mięsa może nie jeść, ale kartofle do obiadu zawsze muszą być.",pyra, reg. łódz.[2] miłośnik ziemniaków
 Tylko nerd potrafi siedzieć na IRC-u większą część doby.,nerd,
" Jeszcze kilkanaście lat temu nikt nie słyszał o kebabach, a dziś są w każdym bistro.",kebab, kulin. spoż. popularne w kuchni tureckiej kawałki pieczonego mięsa z dodatkami; zob. też kebab w Wikipedii
 Jacek od roku pracuje w kebabie przy Zwierzynieckiej.,kebab," gastr. bar, w którym podaje się kebab (1.1)"
" Więc astrolog wziąwszy lupę, • Zajrzał raz królewnie w dupę, • Wielkim cyrklem pizdę zmierzył, • Po czym zamknął się w swej wieży[2].",pizda, wulg. anat. pochwa lub srom; żeński narząd płciowy[1]
 Ale masz pizdę pod okiem.,pizda," wulg. med. siniak, często podbite oko, ślad po pobiciu[1]"
 Ale z ciebie jest pizda!,pizda," wulg. pejor. niezdara, ciamajda[1]"
" W więzieniu już czekają na twoją pizdę, frajerze!",pizda, wulg. seks. męski odbyt (jako obiekt seksualny)
 Zaraz w pizdę dostaniesz!,pizda, wulg. usta
 Co za pizda z tej nauczycielki!,pizda,
 Znów dostałem pizdę z matmy!,pizda, wulg. eduk. ocena niedostateczna[1]
" Obok rozbitego samochodu stał tłum gapiów, ale nikt nie udzielił rannym pomocy.",gap," osoba bezmyślnie patrząca na pewne wydarzenie, zjawisko"
" Jacek, nie gap się tak ostentacyjnie na tę dziewczynę.",gap, 2. os. lp rozk. od: gapić (się)
" Nie pieprz już tej zupy, jest za ostra.",pieprzyć, dodawać pieprzu do jedzenia
" Co ty mi tu pieprzysz, przecież widać, że to nieprawda!",pieprzyć," pot. mówić bzdury, kłamać[1]"
" Pieprzę tę robotę i jadę do Anglii, traktują mnie tu jak szmatę i do tego płacą gówniane grosze.",pieprzyć," pot. pogardzać kimś lub czymś, lekceważyć kogoś[1]"
" Pieprz się, nic ci nie zapłacę za ten szajs.",pieprzyć," pot. pogardzać kimś lub czymś, lekceważyć kogoś[1]"
" Wiesz, że Tomek pieprzył żonę szefa?!",pieprzyć, wulg. pot. uprawiać seks
 Pieprz to roślina z rodziny pieprzowatych.,pieprz, bot. roślina zielna lub krzew z rodziny pieprzowatych; zob. też pieprz w Wikipedii
" Na końcu wbić surowe jajko, dodać pieprz i sól.",pieprz, kulin. spoż. przyprawa otrzymywana z nasion pieprzu (1.1)
" Piotrze, nie pieprz tyle tej zupy!",pieprz, 2. os. lp rozk. od: pieprzyć
" Gdy pewnego razu szedłem na zbiórkę harcerską, zaatakowała mnie banda.",banda, zorganizowana grupa przestępcza
" Doskonale nadaje się do dzikich pląsów o zachodzie słońca, wespół w zespół z bandą przyjaciół na dobre i na złe.",banda," przen. żart. kilkoro ludzi, których łączy np. podobieństwo, zainteresowania, przeżycia, żyjących podobnie"
 Banda idiotów gra w piłkę przed moimi drzwiami!,banda, przen. duża i uciążliwa grupa ludzi
" W ubiegłym tygodniu w lidze szwedzkiej Rosjanin doprowadził do karambolu, który gdyby nie dmuchana banda skończyłby się tragicznie.",banda, sport. ochronne ogrodzenie okalające miejsce odbywania konkurencji sportowych
 Manifestanci oskarżali establishment o niepowodzenie reform.,establishment,
 Do tego buca nic nie dociera.,buc," ktoś zarozumiały, pyszałkowaty, tępy, głupi"
" Hippisi nie chcieli zakładać rodzin, bo woleli żyć w komunach.",komuna, wspólnota ludzi żyjących razem w oparciu o dzielenie się pracą i własnością; zob. też komuna w Wikipedii
" Kiedyś stali godzinami w kolejce po mięso, bo tak chciała komuna, dziś opychają się hamburgerami, bo tego chce amerykański koncern[1].",komuna," pot. pejor. komunizm, socjalizm"
" Za komuny nic nie było, a wszystko było; teraz wszystko jest, a nic nie ma[2].",komuna," pot. pejor. komunizm, socjalizm"
 Nudzi mnie ten flegmatyczny angol.,angol, pot. lekcew. Anglik
 Załóż te lumpy w końcu!,lump," slang. ciołek, cymbał, tłuk, debil"
" Wstydzę się, bo pracuję w korpo[2].",korpo, pot. korporacja
" Opłaciła murzyna, który napisał egzamin zamiast niej.",murzyn, człowiek pracujący anonimowo za kogoś
" Nie było wolnego krzesła, więc mama musiała usiąść na taborecie.",taboret, rodzaj krzesła bez oparcia
 Ten cham nawet się ze mną nie przywitał!,cham," pejor. obraź. osoba, która zachowuje się bezczelnie, ordynarnie, nie przestrzega podstawowych norm"
" Cham powinien słuchać swojego pana, bo po to się urodził!",cham," przest. pogard. człowiek niskiego stanu, chłop, parobek"
 Asia ma czarne włosy.,czarny, mający najciemniejszy możliwy kolor
 Czarny król uciekł z zagrożonego pola.,czarny, szach. należący do czarnych (2.1)
 W rzeczywistości realnego socjalizmu posiadanie i sprzedaż dolarów lub marek było traktowane jako proceder czarnego rynku.,czarny, nielegalny
 Zazwyczaj grając czarnymi przegrywam partię.,czarny," bierka w czarnym (1.1) kolorze w grze w szachy, warcaby itp.; czarne (1.1) pole w ruletce; także gracz lub stawka ich dotycząca"
 Heniek narysował chuja na płocie.,chuj," wulg. penis, członek"
 Zapierdolę tego chuja za złodziejstwo!,chuj, przen. wulg. bardzo obraźliwa forma zwrotu do mężczyzny
" I to on to sprawił, ten ciemny chuj morowy, w generalskim, zalepionym orderami mundurze[1].",chuj, przen. wulg. bardzo obraźliwa forma zwrotu do mężczyzny
" Chuj, nic z tego nie wyszło.",chuj," wulg. wykrzyknik, gdy coś się nie udało, nie wyszło, poszło nie po naszej myśli"
 No i chuj! Wszystko się zjebało.,chuj," wulg. wykrzyknik, gdy coś się nie udało, nie wyszło, poszło nie po naszej myśli"
 Zapraszam do salonu.,salon," główny, dzienny pokój w mieszkaniu"
 Po szkole chłopcy biegali pograć na automatach do salonu na ul. 27 Stycznia.,salon, salon gier
" Gdy koks spalił się całkiem, zaczął spomiędzy nich buchać z przeraźliwym hukiem wielki płomień, długi, drgający.[2]",koks, stały produkt suchej destylacji węgla; zob. też koks w Wikipedii
" Kiedy miałam długie włosy, to upinałam je w kok.",kok, fryzj. włosy upięte w węzeł z tyłu głowy
" Biały dywan ze skór baranów, nadzwyczaj puszysty, tłumił zupełnie kroki[1].",baran, zool. samiec owcy
" Gdzie się pchasz, baranie!",baran," pot. pogard. głupek, idiota"
" Gdy zauważyłam, że w pościeli są mendy, to musiałam ją wygotować, żeby poginęły.",menda," przest. wesz łonowa, mendoweszka"
 Ta dyrektorska menda obcięła mi pensję!,menda, przen. pot. człowiek podły[1]
" Co za menda, pożyczyłem mu rower, a ten na pierwszym zakręcie wywalił się i jeszcze kierownicę mi skrzywił.",menda," przen. pot. człowiek głupi, niezdarny"
" Wałęsa się i szwenda, pierdolona menda. (Apteka, Menda)",menda, przen. wulg. policjant[1]
 Moja babcia jest chora na cukrzycę.,chory, dotknięty chorobą
 To chory pomysł!,chory," pot. dziwaczny, nienormalny"
 W szpitalu jest dużo chorych.,chory, osoba dotknięta chorobą
 Zimorodki gniazdują w norze wygrzebanej w urwisku.,nora, zool. podziemne schronienie zwierząt
 Pod starym dębem zauważyliśmy lisią norę.,nora, zool. podziemne schronienie zwierząt
 Gdzie ja mam gości zapraszać? Do tej nory?,nora," pot. pejor. obskurne, podejrzane, zaniedbane mieszkanie lub lokal"
" Ja proponuję uczniom pracę z trzema rodzajami heksów: całkowicie pustymi do uzupełniania, wszystkimi zapełnionymi pojęciami z danego działu i częściowo zapełnionymi - pojawia się kilka kluczowych pojęć, do których młodzież buduje własne skojarzenia, dopisuje przykłady, dobiera cechy itd.[1]",heks,
" Wprowadzenie heksów było dużym krokiem naprzód, umożliwiając asekurację w - niemal - równoległych szczelinach i tym samym pozwalając na podniesienie poziom wspinaczki klasycznej. Właściwie do dzisiaj pełnią one podobną rolę[2].",heks,
 Strategie oparte na podzielonej na heksy mapie to kawał historii gier. Rozgrywane na planszach a później również na monitorach - zawsze miały grono wiernych fanów[3].,heks,
" Plansza do gry, podzielona na 19 heksagonalnych pól, kształtem zbliżona jest do heksa, […][4].",heks,
 Zaprojektowano mur oporowy z betonu.,beton," bud. materiał budowlany, powstały ze zmieszania piasku, żwiru lub innego kruszywa z roztworem materiałów wiążących; zob. też beton w Wikipedii"
 Ależ z niego beton.,beton, przen. iron. grupa konserwatystów lub nieusuwalnych notablów
 Zaprojektowano mur oporowy z betonu.,beton ," bud. materiał budowlany, powstały ze zmieszania piasku, żwiru lub innego kruszywa z roztworem materiałów wiążących; zob. też beton w Wikipedii"
 Ależ z niego beton.,beton , przen. iron. grupa konserwatystów lub nieusuwalnych notablów
 Wyrzuć te graty i kup jakieś porządne meble.,grat," pot. przedmiot niezbyt wartościowy, często stary, zniszczony mebel, sprzęt domowy"
 Ty się tym gratem wybierasz nad morze? Przecież on ci się w połowie drogi rozleci.,grat," pogard. stary, wyeksploatowany, często psujący się pojazd mechaniczny"
" Ona tak świetnie wygląda, a ten jej mąż to taki stary grat.",grat," pogard. człowiek stary, schorowany"
" Telegrafista cofnął się, zmieszany nieco, do telegrafu, usiadł przy aparacie, zatopił długie, chude, nerwowe palce w jasnych jak len włosach i zapatrzył się przez okno w zamglony jesienny dzień[3].",aparat," techn. urządzenie o określonej funkcjonalności, np. telefoniczny, fotograficzny"
 Dziadek bez aparatu prawie nic nie słyszy.,aparat, med. przyrząd do korekcji wad
" Stworzenie na gruzach dawnego aparatu państwowego, który był aparatem kapitalistycznej przemocy w stosunku do mas ludowych, nowego aparatu państwowego, złożonego w swych zasadniczych ogniwach z nowych, ludowych kadr, aparatu, który stał się orężem walki z wszelkimi próbami przywrócenia panowania burżuazji oraz dźwignią podstawowych przeobrażeń ustrojowych w kierunku socjalizmu; ścisłe powiązanie wojska z ludem i demokratyzacja korpusu oficerskiego; coraz szerszy i aktywniejszy udział mas w rządzeniu państwem[4].",aparat," instytucje, urzędy zajmujące się kontrolą lub kierowaniem pewną dziedziną życia państwowego, społecznego"
 Niezły z niego aparat!,aparat, pot. uczn.[1] zabawny lub szokujący człowiek
 W tym roku bożonarodzeniowe pierniki były wyśmienite!,piernik," kulin. twarde ciemnobrązowe ciasto robione z mieszaniny mąki pszennej i żytniej, mleka, jajek, skarmelizowanego cukru, miodu, silnie przyprawione cynamonem, imbirem; zob. też piernik w Wikipedii"
" Ten piernik stoi nad grobem, a wciąż się ogląda za małolatami.",piernik, przen. pot. pogard. o starym mężczyźnie
 Mogę uznać ponad połowę naszego biura za kaczystów.,kaczysta,
" Kaczyzm był jeszcze wielokrotnie przywoływany w negatywnym znaczeniu przez polityków partii opozycyjnych - szczególnie upodobała go sobie posłanka SLD Joanna Senyszyn, którą uważa się czasem za autorkę tego określenia[1].",kaczyzm,
" Kaczyzm był jeszcze wielokrotnie przywoływany w negatywnym znaczeniu przez polityków partii opozycyjnych - szczególnie upodobała go sobie posłanka SLD Joanna Senyszyn, którą uważa się czasem za autorkę tego określenia[1].",kaczyzm ,
 Dzięki kablom światłowodowym nasze łącze ma większą przepustowość.,kabel," elektr. gruby przewód elektryczny lub światłowodowy, zwykle spleciony z kilku odizolowanych żył; zob. też kabel elektryczny w Wikipedii"
" Oblężenie bowiem było tak srogie, że za głowę osła dawano osiemdziesiąt sykli srebra, a za ćwierć kaba dzikiej cebuli — pięć sykli srebra.[1]",kab, hist. hebrajska jednostka masy; zob. też kab w Wikipedii
" (…) I dotąd nosił wielki pęk kluczów za pasem, / Uwiązany na taśmie ze srebrnym kutasem.[2]",kutas," daw. pompon, frędzel, coś, co może się huśtać, dyndać, zwisać[1]; zob. też kutas (element ozdobny) w Wikipedii"
 Ten kutas znów zajął moje miejsce na parkingu!,kutas, wulg. obraźliwy epitet wobec kogoś nielubianego
" Czy na dworze, czy w salonie, / Czy w klozecie, czy na tronie, / W każdej chwili, w każdym czasie / Wciąż myślała o kutasie.[3]",kutas, wulg. penis
" Opłaciła się Rzeczypospolitej tolerancja okazywana przedstawicielom mniejszości religijnych, najbardziej skrajnych sekt wyznaniowych, takich jak anabaptyści niemieccy i holenderscy (menonici) czy antytrynitarze.[1]",sekta, rel. odłam wyznaniowy religii
" Sekty tego rodzaju są co prawda nieliczne, ale władza guru nad jej członkami jest właściwie absolutna.[2]",sekta, rel. grupa mająca własną religię i skupiona wokół jakiegoś przywódcy duchowego
" Raz ją tak swędziała dupa, że zgwałciła i biskupa[2].",dupa, wulg. pośladki lub odbyt[1]
" Ależ z ciebie dupa, nic nie potrafisz załatwić!",dupa," pot. pejor. obraź. wulg. niezaradna osoba, oferma[1]"
 Kazio wpadł wczoraj na imprezę z całkiem niezłą dupą.,dupa, wulg. (potencjalna) partnerka seksualna
 Świetna dupa z tej aktorki!,dupa," wulg. dziewczyna (tylko w zestawieniach: fajna, niezła itp. dupa – ale także stara dupa, czyli stare babsko)"
 Tyle się uczyłem i co?! No i dupa!,dupa," wulg. pot. okrzyk świadczący o porażce, przegranej[1]"
 No i dupa zbita!,dupa," wulg. pot. okrzyk świadczący o porażce, przegranej[1]"
 Czarna krowa w kropki bordo gryzła trawę kręcąc mordą[2].,morda, zool. przednia część głowy zwierzęcia
 Chcesz w mordę!?,morda, pot. grub. twarz lub usta człowieka[1]
" Morda tam (…), siedzieć w tym sejmie i kraść dalej (…)![3]",morda," grub. zamknij się!, stul pysk!"
 Do wyrównywania asfaltu na jezdni używa się walców.,asfalt, techn. półpłynny lub stały materiał pochodzenia naturalnego; zob. też asfalt w Wikipedii
" Czasem nazywają mnie Murzyn Bambo, asfalt, adidas, Kunta Kinte - mówi Kongijczyk Foster, który od 1987 r. mieszka w naszym kraju[3].",asfalt, pogard. mężczyzna o czarnej skórze
 Buraki są pracochłonne w uprawie.,burak, bot. roln. ogrod. roślina z rodzaju (1.1)
 Jacek kupił na bazarze buraki i młode ziemniaki na obiad.,burak, spoż. kulin. jarzyna z uprawnej odmiany rośliny (1.2)
" Nie gadaj z tym burakiem, i tak nie zrozumie.",burak," pogard. obraź. człowiek niepotrafiący się odpowiednio zachować, często kompromitujący się, nieobyty, prymitywny, często niedouczony"
 W skład drewna wchodzi kilka typów komórek.,drewno," bot. tkanka roślinna zbudowana głównie z martwych komórek, przewodząca wodę i sole mineralne z korzeni do liści oraz stanowiąca szkielet podtrzymujący roślinę; zob. też drewno (biologia) w Wikipedii"
 Ten mały kraj czerpie zyski niemal wyłącznie z eksportu drewna.,drewno," materiał uzyskiwany z gałęzi i pni drzew używany w budownictwie, stolarstwie, bednarstwie itp. do wytwarzania różnych przedmiotów oraz jako opał; zob. też drewno (technika) w Wikipedii"
 W komórce było dużo drewna.,drewno, rzecz. zbiorowy kawałki drewna (1.2)
" Jacek twierdzi, że to pani córka rzuciła w okno drewnem.",drewno, kawałek drewna (1.2)
 Inspekcja Handlowa skontrolowała konserwy w dużych sklepach elbląskich i pasłęckich[1].,konserwa," spoż. zapasteryzowana żywność w hermetycznym, trwałym opakowaniu, najczęściej metalowym; zob. też konserwa w Wikipedii"
" Może on jest dobrym aktorem, ale to okropny bufon.",bufon," człowiek zarozumiały, pyszny, pretensjonalny"
 Przestań jeść palcami! Zachowujesz się jak prostak.,prostak," pejor. osoba płci męskiej zachowująca się w sposób prymitywny, niekulturalny bądź chamski"
 Tę śmiertelną chorobę wywołują mikroskopijne pasożyty krwi.,pasożyt," biol. organizm żerujący na innym organizmie, zazwyczaj ze szkodą dla swego żywiciela; zob. też pasożyt w Wikipedii"
 Był jak pasożyt lub wrzód; wszyscy go mieli dość.,pasożyt, przen. pejor. osoba wykorzystująca innych dla osiągnięcia własnych korzyści
 W mieszkaniu pod nami za komuny funkcjonowała melina.,melina," pot. lokal prywatny, w którym nielegalnie handluje się alkoholem lub narkotykami"
 Na chodniku leżało psie gówno.,gówno," wulg. odchody stałe, kał[2][3]"
 Nie kupuj tego gówna.,gówno," wulg. przen. coś brzydkiego, bezwartościowego[4]"
" Mówi, że on mechanik (…) gówno, nie mechanik![2]",gówno," wulg. przen. ktoś godny pogardzenia, zlekceważenia[2]"
 Gówno mnie to obchodzi. (= Nic mnie to nie obchodzi.),gówno, wulg. przen. nic[4][2]
" (…) ale to było jak grochem o ścianę, zero odzewu, więc teraz już się nawet nie wysilam, bo i tak gówno będę z tego miała[5].",gówno, wulg. przen. nic[4][2]
" Cholera! Ten twój bachor nic tylko żre, sra i wyje!",srać, wulg. pejor. anat. wypróżniać się przez otwór odbytniczy
" Sram na was, wy skurwysyny!",srać," wulg. lekceważyć kogoś lub coś, kpić sobie z czegoś"
" Żeby przybić te gwoździe, potrzebujemy młotka.",młotek," techn. narzędzie służące do uderzania, najczęściej do przybijania gwoździ"
" Chyba nie traktujesz poważnie tego, co mówi ten młotek.",młotek," pot. człowiek głupi, głupek"
 Małpy żyją na drzewach.,małpa, zool. zwierzę z rzędu naczelnych o silnie rozwiniętym mózgu i chwytnych kończynach; zob. też małpokształtne w Wikipedii
 Małpę umieszczamy w adresie e-mail przed domeną.,małpa, pot. inform. znak @
 Ta głupia małpa źle wydała mi resztę!,małpa, obraź. pogard. o osobie: osoba prymitywna
 Tylko głupek nie rozumie takich prostych rzeczy.,głupek, pot. obraź. ktoś głupi
" Trzeba być głupkiem, żeby uwierzyć temu oszustowi.",głupek, pot. obraź. ktoś głupi
" Dzieci śmiały się, gdy klasowy głupek wyszedł na środek sali i zaczął głośno bekać.",głupek, pot. obraź. osoba niepoważna
" Wszyscy przejmowali się chorobą Anny i nie mogli już znieść głupka, który wciąż opowiadał żarty o schizofrenikach.",głupek, pot. obraź. osoba niepoważna
 W tej części sklepu znajdują się buty typu turystycznego i sportowego.,typ," rodzaj, wzorzec"
 Mariusz to typ samotnika.,typ, osoba skupiająca cechy ludzi pewnej kategorii
 Ten koń to mój typ. Postawiłem na niego 100 złotych.,typ, ktoś lub coś przewidziane przez kogoś na zwycięzcę
 Strunowce to jeden z typów należących do królestwa zwierząt.,typ, syst. zool. kategoria w systematyce zwierząt; zob. też typ (biologia) w Wikipedii
 Typ orientalny odznacza się dosyć wysokim wzrostem.,typ, charakterystyczny wygląd i budowa człowieka w zależności od jego rasy lub przynależności etnicznej
" Patrz na tego typa, jak on wygląda! Ubranie to chyba musiał ze śmietnika wyciągnąć!",typ, pot. podejrzany mężczyzna
 Zaszyj tę dziurę w spodniach!,dziura, otwór powstały wskutek uszkodzenia
 Idę dzisiaj do dentysty zaplombować dziurę.,dziura, pot. ubytek w zębie
" Co za dziura, nigdzie nie ma otwartego sklepu!",dziura," przen. pot. miejscowość biedna, położona z dala od cywilizacji"
 Dziury to modelowe nośniki dodatniego ładunku elektrycznego.,dziura, fiz. zob. dziura elektronowa
 Jacek z Andrzejem wzięli rano ekwipunek i poszli do dziury.,dziura, środ. jaskinia
 Pleśń należy do grzybów.,grzyb, mikol. organizm cudzożywny plechowy; zob. też grzyby w Wikipedii
 Babcia chodziła po lesie z wielkim koszem i kładła do niego zebrane grzyby.,grzyb," owocnik grzyba (1.1) kapeluszowego, np. borowik, maślak, kurka, muchomor"
 Nad Hiroszimą unosił się grzyb po wybuchu bomby atomowej.,grzyb," przen. coś w kształcie grzyba (1.2), np. chmura po wybuchu"
" Wchodziliśmy w klapkach pod prysznice, aby nie złapać grzyba na stopach.",grzyb," pot. grzybica, choroba wywoływana przez grzyby (1.1) pasożytnicze"
 Ten grzyb siedzi tylko w domu i skarży się na cały świat!,grzyb," pogard. ktoś stary, niedołężny"
 Istnienie grzybów zaobserwowano we wszystkich strefach klimatycznych.[2],grzyby,
 W tym burdelu są najtańsze dziwki.,burdel, posp. dom publiczny[1]
 Masz posprzątać ten burdel w swoim pokoju!,burdel, posp. grub. brak porządku[1]
" Kaczor podpłynął i wyłowił z wody kawałki chleba, które mu rzuciłem.",kaczor, ornit. samiec kaczki
" Samiec, zwany kaczorem, w szacie godowej ma zielono opalizującą głowę.[1]",kaczor, ornit. samiec kaczki
" Niepotrzebnie martwisz się o tego pijanicę, pewnie znów śpi w jakiejś bramie.",pijanica, pot. pogard. pijak
 Kazia nazbierała kosz grzybów i piekiełko pijanicy.,pijanica," bot. pot. roślina z gatunku Vaccinium uliginosum L.[1], borówka bagienna"
" 4 lipca chińskie media podały, że „zaniepokojeni częstymi przypadkami zachorowań wśród pingwinów pracownicy szanghajskiego zoo postanowili uodpornić podopiecznych, karmiąc ich regularnie czosnkiem”[1].",pingwin," ornit. nielotny, czarno-biały ptak zamieszkujący zimne morza półkuli południowej; zob. też pingwiny w Wikipedii"
" Na tapczanie leży leń, nic nie robi cały dzień.[3].",leń," człowiek odpoczywający ponad potrzebę, unikający pracy"
 Rybacy wyjęli z sieci dwa lenie.,leń, icht. zob. leń jeziorowy
 Dzisiaj kupiliśmy sobie nowe łóżko do sypialni.,sypialnia, bud. archit. pokój służący do spania
 Ursynów uchodził dawniej za sypialnię dla Warszawy.,sypialnia, przen. urb. dzielnica lub przedmieście metropolii pozbawione biur i innych miejsc pracy[1]
 Państwo młodzi dostali od rodziców kompletną sypialnię w prezencie ślubnym.,sypialnia, komplet mebli do sypialni (1.1)[1]
 Jajo zawiera surowce odżywcze pozwalające na rozwój zarodka bez dostępu do organizmu macierzystego.,jajo, biol. dojrzała komórka rozrodcza żeńska zwierząt i człowieka; zob. też jajo w Wikipedii
 Jaja jako bogate źródło substancji odżywczych są podstawą wielu potraw.,jajo, spoż. jajo (1.1) drobiu używane przez ludzi jako pożywienie; zob. też jajko (kulinaria) w Wikipedii
 Tata dał mi na urodziny kolejkę elektryczną.,dać," wręczyć, ofiarować coś (także przenośnie) komuś"
" Poszedłem do urzędu, ale nie dali mi nic powiedzieć, tylko od razu wysłali do innego biura.",dać," pozwolić, umożliwić coś"
" Wszyscy we wsi wiedzą, że Czesia chętnie da każdemu.",dać," pot. o kobiecie: umożliwić odbycie z sobą stosunku seksualnego, por. dać dupy"
" Było ciężko, ale nie daliśmy się.",dać, umożliwić komuś pokonanie się lub oszukanie
" Zobaczę, co się da z tym zrobić.",dać, być możliwym do wykonania
 Przez dwa lata mieszkałem w tej budzie.,buda, zaniedbany budynek
 Pimpusiowi chyba podoba się nowa buda.,buda, schronienie dla psa
" Cholera, dziś klasówka – nie idę do budy.",buda, środ. uczn. szkoła
 Niektóre gatunki bambusu mogą bardzo szybko rosnąć.,bambus," bot. Bambusa Shreb.[1], rodzaj wieloletnich roślin trawiastych o drewniejących łodygach, z rodziny wiechlinowatych; zob. też bambus w Wikipedii"
" Na obcokrajowca rodem z Czarnego Lądu lecą epitety, np. ""czarnuch"" lub ""bambus""[5].",bambus, pogard. obraź. osoba rasy żółtej bądź czarnej[2]
 Straszny z ciebie bambus!,bambus, uczn. ktoś głupi[4]
 Ślimaki stanowią najliczniejszą grupę mięczaków.,ślimak, zool. rodzaj bardzo rozpowszechnionego mięczaka; zob. też ślimaki w Wikipedii
" Asia, przechodząc przez ulicę, nadepnęła na skorupę ze ślimakiem.",ślimak, zool. rodzaj bardzo rozpowszechnionego mięczaka; zob. też ślimaki w Wikipedii
" Ślimak wypełniony jest płynem, który przemieszcza się pod wpływem drgań.",ślimak, anat. część ucha wewnętrznego ssaków; zob. też ślimak (anatomia) w Wikipedii
 Należy zjechać w prawo ślimakiem w dół.,ślimak, urb. trakt komunikacyjny spiralnie pokonujący różnicę wysokości
 Poproszę ślimaka z budyniem waniliowym i rodzynkami.,ślimak," kulin. papatacz; słodki wypiek z ciasta półfrancuskiego w kształcie okrągłej, spiralnie zwiniętej muszli"
 Nie lubię twojego chłopaka – straszny z niego ślimak.,ślimak," pot. obraź. ktoś, kto powoli się porusza lub powolnie wykonuje swoją pracę, albo ogólnie jest powolny"
" Wiesz, spóźniłam się, bo przede mną taki ślimak jechał.",ślimak," pot. obraź. ktoś, kto powoli się porusza lub powolnie wykonuje swoją pracę, albo ogólnie jest powolny"
 Silnik nigdy nie będzie pracował w takim układzie.,układ, zbiór elementów powiązanych ze sobą w jakiś sposób; zob. też układ w Wikipedii
 Wczoraj dwa supermocarstwa podpisały układ o redukcji broni atomowej.,układ, porozumienie
" W tym układzie spalił się scalak, trzeba go wymienić.",układ, pot. układ elektroniczny (jako większa całość); zob. też układ elektroniczny w Wikipedii
 Ten układ jest spalony.,układ, pot. układ scalony; zob. też układ scalony w Wikipedii
" Z oburzeniem zwierzyła się przyjaciółce, że jej ginekolog używa słowa cipa.",cipa, wulg. (dawniej gw.)[1] żeński narząd rozrodczy
 „Ty głupia cipo!” – krzyknęła Iwona.,cipa, wulg. pogardliwie o kobiecie[2]
 Ależ z niego cipa – niczego załatwić nie potrafi.,cipa, wulg. o osobie niezaradnej
 Stado świń podeszło do koryta i zaczęło pić.,koryto, podłużny pojemnik przeznaczony do pojenia i karmienia zwierząt domowych
 Te zwierzęta zjadły całe koryto żarcia.,koryto, zawartość koryta (1.1)
 Dla niego najważniejsze jest koryto.,koryto," pot. przen. iron. źródło znacznych dochodów, posada, zazwyczaj publiczna, zapewniająca duże dochody"
